Date Time, Water Level, Sigma, I, L 
2016-04-01 00:00,0.917,0.032,0,0
2016-04-01 01:00,1.084,0.037,0,0
2016-04-01 02:00,1.169,0.027,0,0
2016-04-01 03:00,1.210,0.042,0,0
2016-04-01 04:00,1.166,0.026,0,0
2016-04-01 05:00,1.075,0.024,0,0
2016-04-01 06:00,0.958,0.040,0,0
2016-04-01 07:00,0.898,0.033,0,0
2016-04-01 08:00,0.923,0.026,0,0
2016-04-01 09:00,0.966,0.032,0,0
2016-04-01 10:00,1.085,0.033,0,0
2016-04-01 11:00,1.234,0.038,0,0
2016-04-01 12:00,1.353,0.035,0,0
2016-04-01 13:00,1.427,0.046,0,0
2016-04-01 14:00,1.394,0.024,0,0
2016-04-01 15:00,1.281,0.032,0,0
2016-04-01 16:00,1.042,0.039,0,0
2016-04-01 17:00,0.746,0.030,0,0
2016-04-01 18:00,0.459,0.039,0,0
2016-04-01 19:00,0.265,0.033,0,0
2016-04-01 20:00,0.177,0.044,0,0
2016-04-01 21:00,0.171,0.042,0,0
2016-04-01 22:00,0.303,0.037,0,0
2016-04-01 23:00,0.480,0.030,0,0
2016-04-02 00:00,0.707,0.044,0,0
2016-04-02 01:00,0.914,0.042,0,0
2016-04-02 02:00,1.108,0.043,0,0
2016-04-02 03:00,1.242,0.043,0,0
2016-04-02 04:00,1.275,0.031,0,0
2016-04-02 05:00,1.190,0.041,0,0
2016-04-02 06:00,1.077,0.042,0,0
2016-04-02 07:00,0.944,0.049,0,0
2016-04-02 08:00,0.816,0.042,0,0
2016-04-02 09:00,0.818,0.044,0,0
2016-04-02 10:00,0.852,0.023,0,0
2016-04-02 11:00,0.993,0.048,0,0
2016-04-02 12:00,1.154,0.043,0,0
2016-04-02 13:00,1.300,0.034,0,0
2016-04-02 14:00,1.392,0.032,0,0
2016-04-02 15:00,1.403,0.032,0,0
2016-04-02 16:00,1.306,0.032,0,0
2016-04-02 17:00,1.068,0.033,0,0
2016-04-02 18:00,0.687,0.028,0,0
2016-04-02 19:00,0.370,0.029,0,0
2016-04-02 20:00,0.133,0.024,0,0
2016-04-02 21:00,0.078,0.032,0,0
2016-04-02 22:00,0.101,0.026,0,0
2016-04-02 23:00,0.256,0.027,0,0
2016-04-03 00:00,0.480,0.039,0,0
2016-04-03 01:00,0.741,0.030,0,0
2016-04-03 02:00,0.993,0.038,0,0
2016-04-03 03:00,1.233,0.043,0,0
2016-04-03 04:00,1.362,0.032,0,0
2016-04-03 05:00,1.343,0.029,0,0
2016-04-03 06:00,1.234,0.038,0,0
2016-04-03 07:00,1.026,0.029,0,0
2016-04-03 08:00,0.795,0.026,0,0
2016-04-03 09:00,0.650,0.037,0,0
2016-04-03 10:00,0.684,0.034,0,0
2016-04-03 11:00,0.768,0.039,0,0
2016-04-03 12:00,0.925,0.034,0,0
2016-04-03 13:00,1.124,0.035,0,0
2016-04-03 14:00,1.321,0.033,0,0
2016-04-03 15:00,1.474,0.038,0,0
2016-04-03 16:00,1.482,0.025,0,0
2016-04-03 17:00,1.379,0.032,0,0
2016-04-03 18:00,1.102,0.036,0,0
2016-04-03 19:00,0.693,0.022,0,0
2016-04-03 20:00,0.297,0.028,0,0
2016-04-03 21:00,0.024,0.028,0,0
2016-04-03 22:00,-0.019,0.024,0,0
2016-04-03 23:00,0.042,0.020,0,0
2016-04-04 00:00,0.256,0.026,0,0
2016-04-04 01:00,0.525,0.030,0,0
2016-04-04 02:00,0.858,0.025,0,0
2016-04-04 03:00,1.148,0.034,0,0
2016-04-04 04:00,1.376,0.027,0,0
2016-04-04 05:00,1.479,0.038,0,0
2016-04-04 06:00,1.416,0.031,0,0
2016-04-04 07:00,1.222,0.028,0,0
2016-04-04 08:00,0.909,0.029,0,0
2016-04-04 09:00,0.616,0.028,0,0
2016-04-04 10:00,0.422,0.025,0,0
2016-04-04 11:00,0.466,0.018,0,0
2016-04-04 12:00,0.608,0.025,0,0
2016-04-04 13:00,0.812,0.022,0,0
2016-04-04 14:00,1.075,0.024,0,0
2016-04-04 15:00,1.306,0.026,0,0
2016-04-04 16:00,1.482,0.024,0,0
2016-04-04 17:00,1.501,0.036,0,0
2016-04-04 18:00,1.354,0.024,0,0
2016-04-04 19:00,1.043,0.034,0,0
2016-04-04 20:00,0.567,0.025,0,0
2016-04-04 21:00,0.165,0.029,0,0
2016-04-04 22:00,-0.097,0.026,0,0
2016-04-04 23:00,-0.125,0.019,0,0
2016-04-05 00:00,0.007,0.019,0,0
2016-04-05 01:00,0.246,0.021,0,0
2016-04-05 02:00,0.580,0.034,0,0
2016-04-05 03:00,0.959,0.018,0,0
2016-04-05 04:00,1.279,0.021,0,0
2016-04-05 05:00,1.477,0.020,0,0
2016-04-05 06:00,1.502,0.026,0,0
2016-04-05 07:00,1.346,0.038,0,0
2016-04-05 08:00,1.034,0.032,0,0
2016-04-05 09:00,0.629,0.028,0,0
2016-04-05 10:00,0.294,0.030,0,0
2016-04-05 11:00,0.151,0.032,0,0
2016-04-05 12:00,0.243,0.000,1,0
2016-04-05 13:00,0.413,0.023,0,0
